ldef	mean_chipenrich_caught	prop_covered	n
chromhmm_thurman.1000.thurman_fantom	0.329109040744297	0.198490353495641	297
chromhmm.0.E	0.105056818356878	0.0509204265233086	297
chromhmm.0.E_fantom	0.267725965529762	0.117706052019677	297
chromhmm.0.E_thurman	0.24299331224642	0.103166831332114	297
chromhmm.0.E_thurman_fantom	0.297781744727378	0.165484668320977	297
chromhmm.0.fantom	0.22770286486891	0.0717293476743499	297
chromhmm.0.nearest_tss_500000	0.347020180079199	0.154376898241366	297
chromhmm.0.P2P	0.131427628037048	0.0259566945057437	297
chromhmm.0.P2P_E	0.200659736325207	0.0732273700969363	297
chromhmm.0.P2P_E_fantom	0.286319244464425	0.138093791036063	297
chromhmm.0.P2P_E_thurman	0.271149931018369	0.123003684179077	297
chromhmm.0.P2P_E_thurman_fantom	0.307013563464118	0.183805819995355	297
chromhmm.0.P2P_fantom	0.254295751816557	0.0953077376576081	297
chromhmm.0.P2P_thurman	0.230564863321943	0.0804703928644099	297
chromhmm.0.P2P_thurman_fantom	0.283432929403995	0.145016106393356	297
chromhmm.0.thurman	0.192326840276921	0.0578231843919309	297
chromhmm.0.thurman_fantom	0.270338773723227	0.124217026331314	297
chromhmm.1000.E	0.111771747946754	0.0610031766825319	297
chromhmm.1000.E_fantom	0.28663385276509	0.136771861923408	297
chromhmm.1000.E_thurman	0.25794901888567	0.121421052295271	297
chromhmm.1000.E_thurman_fantom	0.318311100035881	0.192233637196691	297
chromhmm.1000.fantom	0.243574879425903	0.0813446204252935	297
chromhmm.1000.nearest_tss_500000	0.373598237616017	0.186229955275266	297
chromhmm.1000.P2P	0.143632858259269	0.0286470993215094	297
chromhmm.1000.P2P_E	0.217009842495231	0.0857367418929405	297
chromhmm.1000.P2P_E_fantom	0.308238578259357	0.159418361992533	297
chromhmm.1000.P2P_E_thurman	0.290900621019179	0.143449555879439	297
chromhmm.1000.P2P_E_thurman_fantom	0.329858123814405	0.212619617641322	297
chromhmm.1000.P2P_fantom	0.274027703513075	0.107426077908942	297
chromhmm.1000.P2P_thurman	0.247255897383246	0.0915898704965761	297
chromhmm.1000.P2P_thurman_fantom	0.30432205897826	0.165070041420822	297
chromhmm.1000.thurman	0.2030549435212	0.0665202010052813	297
chromhmm.1000.thurman_fantom	0.288274729125	0.142010767347865	297
dnase_fantom.0.E	0.117675936916072	0.0249833334382263	297
dnase_fantom.0.E_fantom	0.2012712334342	0.0358158098341983	297
dnase_fantom.0.E_thurman	0.239576889180409	0.046904789942863	297
dnase_fantom.0.E_thurman_fantom	0.271701844577594	0.0571031035272714	297
dnase_fantom.0.fantom	0.117569578517678	0.0116723843501427	297
dnase_fantom.0.nearest_tss_500000	0.367770130752468	0.0726445725045685	297
dnase_fantom.0.P2P	0.1044490396226	0.00493082523137753	297
dnase_fantom.0.P2P_E	0.189054537138056	0.0291482415560195	297
dnase_fantom.0.P2P_E_fantom	0.240262776366389	0.0398497650857759	297
dnase_fantom.0.P2P_E_thurman	0.269270586915024	0.0507377172493603	297
dnase_fantom.0.P2P_E_thurman_fantom	0.290923067161192	0.0608248977560519	297
dnase_fantom.0.P2P_fantom	0.17585394162117	0.0164326384582439	297
dnase_fantom.0.P2P_thurman	0.216380828833719	0.0283390856724742	297
dnase_fantom.0.P2P_thurman_fantom	0.247397820227971	0.039128851774494	297
dnase_fantom.0.thurman	0.172757237291095	0.023857901784086	297
dnase_fantom.0.thurman_fantom	0.218037012647671	0.0347886911921552	297
dnase_fantom.1000.E	0.132456081203553	0.0932661314669745	297
dnase_fantom.1000.E_fantom	0.332148097951125	0.199288070587047	297
dnase_fantom.1000.E_thurman	0.302226340741206	0.174534624535593	297
dnase_fantom.1000.E_thurman_fantom	0.377825265370201	0.274711033348286	297
dnase_fantom.1000.fantom	0.27219884109482	0.113515356792293	297
dnase_fantom.1000.nearest_tss_500000	0.456303332686093	0.278973619079454	297
dnase_fantom.1000.P2P	0.160912432349877	0.0328616505890595	297
dnase_fantom.1000.P2P_E	0.253361287550676	0.122392664481914	297
dnase_fantom.1000.P2P_E_fantom	0.360266801488021	0.226297338124199	297
dnase_fantom.1000.P2P_E_thurman	0.345160333381988	0.201227018051803	297
dnase_fantom.1000.P2P_E_thurman_fantom	0.393327661257044	0.29964622055474	297
dnase_fantom.1000.P2P_fantom	0.311609216869966	0.14384721146386	297
dnase_fantom.1000.P2P_thurman	0.287264582019686	0.118275282056521	297
dnase_fantom.1000.P2P_thurman_fantom	0.356949438584543	0.222962106652129	297
dnase_fantom.1000.thurman	0.230611596144027	0.0885433196902654	297
